date,channel,campaign,spend,impressions,clicks,conversions,revenue
2025-01-01,Facebook,FB_NewYear_Sale,247.35,22634,475,24,2069.75
2025-01-01,Facebook,FB_Retargeting,218.78,26575,628,38,4116.27
2025-01-01,Google,Google_Search_Brand,181.22,15820,359,21,2330.8
2025-01-01,Instagram,IG_Story_Promo,166.28,21516,277,13,982.54
2025-01-01,Email,Email_Newsletter,40.92,20459,179,4,322.28
2025-01-02,Email,Email_Newsletter,30.4,15201,169,5,484.37
2025-01-02,Google,Google_Search_Brand,188.33,18328,616,35,4077.53
2025-01-02,Instagram,IG_Story_Promo,156.27,19087,226,13,1313.07
2025-01-02,Facebook,FB_NewYear_Sale,161.45,15569,240,14,1215.49
2025-01-02,Facebook,FB_Retargeting,197.97,18438,357,18,1796.53
2025-01-03,Facebook,FB_NewYear_Sale,197.82,20703,366,24,2262.48
2025-01-03,Facebook,FB_Retargeting,190.31,20858,426,21,2353.85
2025-01-03,Google,Google_Search_Brand,155.63,15494,499,35,4170.61
2025-01-03,Instagram,IG_Story_Promo,151.52,16677,179,7,522.44
2025-01-03,Email,Email_Newsletter,47.98,23990,118,3,219.02
2025-01-04,Email,Email_Newsletter,32.91,16453,139,1,63.08
2025-01-04,Google,Google_Search_Brand,121.94,8598,227,6,565.89
2025-01-04,Instagram,IG_Story_Promo,106.83,14719,222,7,559.8
2025-01-04,Facebook,FB_NewYear_Sale,188.23,17239,368,14,1384.44
2025-01-04,Facebook,FB_Retargeting,168.89,15293,315,12,1197.02
2025-01-05,Facebook,FB_NewYear_Sale,132.03,11266,260,8,918.87
2025-01-05,Facebook,FB_Retargeting,141.69,12634,213,8,812.59
2025-01-05,Google,Google_Search_Brand,120.34,10178,268,11,1368.72
2025-01-05,Instagram,IG_Story_Promo,98.12,16277,245,6,473.31
2025-01-05,Email,Email_Newsletter,32.6,16300,126,1,88.12
2025-01-06,Google,Google_Search_Brand,208.89,20062,485,37,3684.55
2025-01-06,Email,Email_Newsletter,40.23,20114,155,4,341.17
2025-01-06,Instagram,IG_Story_Promo,156.41,15730,195,9,904.18
2025-01-06,Facebook,FB_Retargeting,145.59,15929,244,14,1401.5
2025-01-06,Facebook,FB_NewYear_Sale,198.34,20978,518,36,3242.57
2025-01-07,Facebook,FB_NewYear_Sale,251.41,30068,702,38,3323.51
2025-01-07,Facebook,FB_Retargeting,323.57,39638,828,52,4194.5
2025-01-07,Google,Google_Search_Brand,137.97,9100,205,14,1476.57
2025-01-07,Instagram,IG_Story_Promo,152.06,15600,177,7,521.77
2025-01-07,Email,Email_Newsletter,58.14,29067,254,7,487.72
2025-01-08,Email,Email_Newsletter,42.86,21428,139,4,277.96
2025-01-08,Instagram,IG_Story_Promo,158.79,26376,306,14,1367.46
2025-01-08,Facebook,FB_NewYear_Sale,169.61,20258,485,33,3475.69
2025-01-08,Facebook,FB_Retargeting,169.34,15530,372,25,2779.88
2025-01-08,Google,Google_Search_Brand,147.18,9723,206,11,1385.36
2025-01-09,Facebook,FB_NewYear_Sale,277.14,26148,614,38,3903.83
2025-01-09,Facebook,FB_Retargeting,188.07,22456,419,21,1884.95
2025-01-09,Google,Google_Search_Brand,196.92,11491,338,24,2642.53
2025-01-09,Instagram,IG_Story_Promo,160.23,19287,287,10,988.98
2025-01-09,Email,Email_Newsletter,39.29,19645,225,8,598.45
2025-01-10,Facebook,FB_NewYear_Sale,222.04,27542,668,38,4509.32
2025-01-10,Facebook,FB_Retargeting,168.2,14748,267,13,1329.54
2025-01-10,Google,Google_Search_Brand,125.47,7173,218,14,1314.42
2025-01-10,Instagram,IG_Story_Promo,136.57,14361,249,12,1177.19
2025-01-10,Email,Email_Newsletter,34.71,17356,105,3,277.21
2025-01-10,Email,Email_Abandoned_Cart,49.64,24817,229,7,642.82
2025-01-11,Email,Email_Abandoned_Cart,20.82,10412,73,1,63.14
2025-01-11,Email,Email_Newsletter,27.46,13727,86,1,85.5
2025-01-11,Instagram,IG_Story_Promo,106.35,11712,142,3,220.24
2025-01-11,Facebook,FB_Retargeting,142.21,14419,294,8,829.07
2025-01-11,Facebook,FB_NewYear_Sale,278.86,24122,443,14,1172.63
2025-01-11,Google,Google_Search_Brand,142.29,13890,285,12,1252.89
2025-01-12,Email,Email_Newsletter,42.23,21113,94,0,0.0
2025-01-12,Instagram,IG_Story_Promo,149.57,19478,243,6,601.88
2025-01-12,Email,Email_Abandoned_Cart,38.11,19053,103,1,78.94
2025-01-12,Facebook,FB_Retargeting,119.69,13875,242,8,868.67
2025-01-12,Facebook,FB_NewYear_Sale,163.37,20166,496,19,2048.94
2025-01-12,Google,Google_Search_Brand,130.63,8548,206,9,1075.64
2025-01-13,Facebook,FB_NewYear_Sale,272.85,31388,606,34,3557.56
2025-01-13,Facebook,FB_Retargeting,215.46,22683,482,28,3199.27
2025-01-13,Google,Google_Search_Brand,215.49,14112,316,16,1851.15
2025-01-13,Instagram,IG_Story_Promo,159.7,16361,257,10,957.32
2025-01-13,Email,Email_Newsletter,48.45,24227,184,7,528.11
2025-01-13,Email,Email_Abandoned_Cart,55.45,27725,151,5,304.65
2025-01-14,Email,Email_Newsletter,44.08,22042,212,4,384.41
2025-01-14,Email,Email_Abandoned_Cart,63.05,31527,277,7,423.03
2025-01-14,Instagram,IG_Story_Promo,188.33,25577,493,27,2353.31
2025-01-14,Facebook,FB_Retargeting,265.48,24266,558,30,2612.93
2025-01-14,Google,Google_Search_Brand,212.29,13264,425,33,3514.66
2025-01-14,Facebook,FB_NewYear_Sale,196.98,17496,311,15,1618.04
2025-01-15,Facebook,FB_NewYear_Sale,225.95,19441,309,16,1888.04
2025-01-15,Facebook,FB_Retargeting,229.36,21787,424,22,2049.22
2025-01-15,Google,Google_Search_Brand,223.81,14551,455,33,4012.3
2025-01-15,Google,Google_Display,199.51,19072,538,34,4267.28
2025-01-15,Instagram,IG_Story_Promo,123.08,16624,185,7,703.22
2025-01-15,Email,Email_Newsletter,41.78,20888,148,3,278.62
2025-01-15,Email,Email_Abandoned_Cart,52.44,26218,153,3,298.4
2025-01-16,Email,Email_Abandoned_Cart,52.24,26120,168,6,485.54
2025-01-16,Email,Email_Newsletter,65.33,32663,285,5,493.98
2025-01-16,Instagram,IG_Story_Promo,110.39,11208,154,5,523.72
2025-01-16,Facebook,FB_NewYear_Sale,106.56,9470,231,13,1431.76
2025-01-16,Google,Google_Search_Brand,234.31,21516,589,29,3153.65
2025-01-16,Facebook,FB_Retargeting,107.78,11338,179,9,921.03
2025-01-16,Google,Google_Display,193.6,18525,403,21,2435.34
2025-01-17,Email,Email_Newsletter,36.91,18457,195,7,623.2
2025-01-17,Email,Email_Abandoned_Cart,49.43,24713,183,7,662.5
2025-01-17,Instagram,IG_Story_Promo,80.54,9159,140,5,512.76
2025-01-17,Facebook,FB_NewYear_Sale,135.34,12867,282,13,1366.33
2025-01-17,Google,Google_Search_Brand,186.6,13675,400,23,2243.07
2025-01-17,Facebook,FB_Retargeting,158.55,19378,345,20,2312.21
2025-01-17,Google,Google_Display,103.54,7058,149,11,1423.93
2025-01-18,Facebook,FB_NewYear_Sale,129.77,10860,179,5,476.18
